frame,id,x,y,w,h
0,1,661,174,64,64
1,1,661,172,67,67
2,1,659,172,67,67
3,1,658,172,68,68
3,2,868,188,63,63
4,1,656,171,70,70
4,2,872,189,61,61
5,1,654,172,69,69
5,2,871,185,65,65
6,1,654,172,72,72
6,2,872,185,63,63
7,1,652,173,71,71
7,2,872,182,67,67
8,1,658,178,64,64
8,2,872,180,67,67
9,1,653,176,71,71
9,2,874,179,67,67
10,1,651,176,73,73
10,2,874,178,65,65
11,1,652,178,71,71
11,2,873,177,67,67
12,1,649,177,76,76
12,2,873,176,67,67
13,1,652,179,74,74
13,2,874,174,68,68
14,1,655,182,70,70
14,2,874,176,63,63
15,1,654,182,70,70
15,2,873,175,65,65
16,1,655,182,72,72
16,2,871,174,67,67
17,1,657,181,71,71
17,2,872,174,67,67
18,1,658,181,69,69
18,2,872,174,67,67
19,1,660,181,66,66
19,2,870,174,66,66
20,1,662,180,67,67
20,2,870,176,68,68
21,1,664,182,63,63
21,2,868,176,67,67
22,1,664,180,65,65
22,2,866,177,69,69
23,1,664,179,63,63
23,2,867,179,68,68
24,1,657,174,71,71
24,2,865,180,68,68
25,1,662,174,67,67
25,2,866,184,66,66
26,1,663,175,66,66
26,2,865,186,67,67
27,1,664,176,62,62
27,2,865,189,64,64
28,1,655,171,73,73
28,2,864,190,65,65
29,1,657,171,70,70
29,2,864,193,64,64
30,1,659,173,67,67
30,2,862,192,67,67
30,3,996,219,50,50
31,1,654,170,73,73
31,2,863,196,61,61
31,3,996,219,50,50
32,1,656,172,71,71
32,2,861,196,62,62
32,3,996,219,50,50
33,1,654,173,70,70
33,2,859,195,64,64
33,3,997,214,50,50
34,1,651,172,74,74
34,2,858,195,63,63
34,3,998,212,50,50
35,1,652,174,72,72
35,2,856,193,65,65
35,3,999,210,50,50
36,1,649,176,72,72
36,2,856,194,62,62
36,3,998,208,50,50
37,1,648,176,74,74
37,2,856,195,60,60
37,3,998,206,50,50
38,1,650,180,69,69
38,2,854,193,63,63
38,3,998,204,50,50
39,1,647,181,70,70
39,2,854,191,64,64
39,3,999,204,50,50
40,1,648,183,68,68
40,2,855,192,63,63
40,3,1000,204,50,50
41,1,648,185,67,67
41,2,855,192,62,62
41,3,1000,203,51,51
42,1,642,185,71,71
42,2,856,193,61,61
42,3,1001,204,50,50
43,1,640,184,71,71
43,2,855,192,63,63
43,3,1000,205,50,50
44,1,639,184,71,71
44,2,857,194,61,61
44,3,999,206,50,50
45,1,635,183,74,74
45,2,856,193,61,61
45,3,998,207,50,50
46,1,636,184,69,69
46,2,857,195,60,60
46,3,998,208,50,50
47,1,638,184,66,66
47,2,859,197,56,56
47,3,998,209,50,50
48,1,638,184,64,64
48,2,860,197,59,59
48,3,998,211,50,50
49,1,638,184,62,62
49,2,859,197,60,60
